1	2	2	43.612783	-96.770556
2	13	2	43.605705	-96.711520
3	2	5	43.572608	-96.775169
4	5	5	43.564375	-96.761228
5	9	5	43.564224	-96.731466
6	13	5	43.576578	-96.710876
7	18	8	43.563525	-96.693503
8	13	8	43.562126	-96.711681
9	9	8	43.551234	-96.731288
10	9	11	43.544690	-96.731291
11	5	11	43.543844	-96.761218
12	2	11	43.543957	-96.780363
13	2	24	43.514962	-96.780486
14	5	17	43.529387	-96.761065
15	9	17	43.529504	-96.731306
16	13	11	43.546684	-96.711359
17	13	14	43.541283	-96.711333
18	18	11	43.546787	-96.694135
19	13	17	43.529477	-96.711333
20	13	24	43.515156	-96.711707
21	9	24	43.514817	-96.731363
22	9	20	43.522147	-96.731363
23	5	20	43.522147	-96.761128
24	5	24	43.514953	-96.761315
