1	2	2	43.61282792	-96.77041974
2	13	2	43.60581298	-96.71125063
3	2	5	43.5729616	-96.77430341
4	5	5	43.56365362	-96.74716843
5	9	5	43.56403357	-96.73156909
6	13	5	43.58758553	-96.71164389
7	18	8	43.5638436	-96.69342281
8	13	8	43.56232379	-96.71138171
9	9	8	43.54859634	-96.73124137
10	9	11	43.54527088	-96.73143801
11	5	11	43.54413068	-96.74684071
12	2	11	43.54394065	-96.78013678
13	2	24	43.49070718	-96.79337655
14	5	17	43.52930613	-96.75103549
15	9	17	43.52940117	-96.73150355
16	13	11	43.54674361	-96.71138171
17	13	14	43.54128009	-96.71138171
18	18	11	43.54674361	-96.69407825
19	13	17	43.52959125	-96.71131617
20	13	24	43.5153335	-96.71118508
21	9	24	43.51048509	-96.73097920
22	9	20	43.51485818	-96.73124137
23	5	20	43.51485818	-96.75090441
24	5	24	43.50316422	-96.74920028
